City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
75,Medicine Hat,CA,87.22,few clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
76,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
77,Portland,US,87.62,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
78,Vanimo,PG,79.81,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
79,Dingle,PH,78.48,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
80,Tiebissou,CI,75.29,overcast clouds,7.1574,-5.2257,Hotel Ngoa
81,Labuhan,ID,76.6,broken clouds,-6.8844,112.2051,DoubleFAG
82,Ahuimanu,US,85.71,broken clouds,21.4447,-157.8378,Paradise Bay Resort
83,Ewa Beach,US,85.95,light rain,21.3156,-158.0072,Base Lodging
84,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
86,Galle,LK,77.85,overcast clouds,6.0367,80.217,Amangalla
87,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
88,Touros,BR,76.39,few clouds,-5.1989,-35.4608,INN NEW HORIZON
90,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
91,Hobyo,SO,77.29,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
92,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
93,Angleton,US,86.0,broken clouds,29.1694,-95.4319,La Quinta Inn & Suites by Wyndham Angleton
94,Enshi,CN,77.5,overcast clouds,30.3,109.4833,Moevenpick Enshi
95,Salalah,OM,77.23,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
96,Kavaratti,IN,82.62,broken clouds,10.5669,72.642,Green leaf
97,Muros,ES,78.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
98,Tottori,JP,77.07,mist,35.5,134.2333,Hotel Monarque Tottori
99,High Rock,BS,86.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
100,Monte Gordo,PT,82.35,clear sky,37.1819,-7.4523,Alcazar Hotel & Spa
101,Gotsu,JP,77.05,overcast clouds,35.0,132.2167,Yurusato
102,Faanui,PF,77.77,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Sabang,ID,82.53,broken clouds,5.8933,95.3214,Hotel Citra
104,Mazamari,PE,77.29,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
105,Cogoleto,IT,79.63,clear sky,44.3893,8.6429,Grand Hotel Arenzano
106,Akot,IN,75.69,overcast clouds,21.0964,77.0586,Shri PRASAD
107,La Romana,DO,88.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
108,Coahuayana,MX,86.07,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
109,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
110,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
111,Kieta,PG,83.68,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
112,Santa Rita,BR,77.67,broken clouds,-7.1139,-34.9781,Infinity Motel
113,Kolondieba,ML,76.96,light rain,11.0882,-6.8926,Hotel Dakan
114,Westport,US,87.13,scattered clouds,41.1415,-73.3579,The Westport Inn
115,Palmer,US,81.01,broken clouds,42.1584,-72.3287,Wedgewood Motel
116,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
117,Sola,VU,83.07,haze,-13.8833,167.55,Leumerus Bungalows
118,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
119,Bandarbeyla,SO,78.22,overcast clouds,9.4942,50.8122,JABIR HOTEL
120,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
122,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
123,Santa Maria Del Oro,MX,87.53,scattered clouds,25.9333,-105.3667,Hotel Palacio Del Sol
124,Tukrah,LY,76.1,clear sky,32.5341,20.5791,Lagrota restaurant
125,Granja,BR,78.03,scattered clouds,-3.1203,-40.8261,Pousada Casa Grande
126,Puerto Escondido,MX,82.76,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
127,Nagua,DO,84.25,broken clouds,19.3832,-69.8474,Hotel Cambri
128,Boiro,ES,82.62,overcast clouds,42.65,-8.9,Casa Costaneira
129,Corinto,GR,80.42,clear sky,37.9407,22.9573,Ephira Hotel
130,Zhezkazgan,KZ,75.83,clear sky,47.8043,67.7144,Hotel Zumrat
131,Neijiang,CN,80.56,scattered clouds,29.5835,105.0622,Han'an Hotel
132,Zhanaozen,KZ,86.76,scattered clouds,43.3,52.8,K.korabay 28A
133,Teknaf,BD,79.25,broken clouds,20.8624,92.3058,Forestry Guesthouse
134,Bardiyah,LY,75.43,clear sky,31.7561,25.0865,بورتو بردية
135,Mawlaik,MM,78.01,few clouds,23.6333,94.4167,AKZ Guest House
136,Alugan,PH,80.02,overcast clouds,12.2188,125.4808,JM Lodge
137,Bud,US,85.05,clear sky,39.447,-86.1758,Ted McQuinn Trust
138,Haimen,CN,80.49,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
139,La Asuncion,VE,85.73,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
140,Dalbandin,PK,86.11,broken clouds,28.8947,64.4101,Sanjrani House
141,Estrella,PH,78.85,overcast clouds,15.75,121.0333,Lawrence Garcia Residences
142,Cuajinicuilapa,MX,83.07,overcast clouds,16.4667,-98.4167,Pozo S. XVI
143,Srandakan,ID,75.36,scattered clouds,-7.9386,110.2506,Puri Brata
144,Pizarro,CO,77.4,light rain,4.9533,-77.366,Hotel Limonar
145,Adana,TR,78.82,scattered clouds,36.985,35.2881,ibis Adana
146,Ibra,OM,88.11,broken clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
147,Taungdwingyi,MM,75.52,overcast clouds,20.0167,95.55,NayNaing MobileService
148,Tecoanapa,MX,84.92,overcast clouds,16.5167,-98.75,Hotel Manglares
149,Nurota,UZ,75.96,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
150,Palatka,US,85.05,overcast clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
151,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
152,Pachino,IT,75.16,clear sky,36.7186,15.0907,Il Veliero
153,Banda Aceh,ID,79.59,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
154,Eyl,SO,79.23,overcast clouds,7.9803,49.8164,Amiin Hotel
155,Dispur,IN,78.75,broken clouds,26.1425,91.7889,Novotel Guwahati GS Road Hotel
157,Nantucket,US,78.85,mist,41.2835,-70.0995,Jared Coffin House
158,Namatanai,PG,81.95,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
159,Kikwit,CD,75.15,few clouds,-5.041,18.8162,HOTEL PLACE YALABA
160,Lae,PG,75.87,light rain,-6.7221,146.9847,Phils Hotel
161,Kudahuvadhoo,MV,82.83,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
162,Krabi,TH,84.06,few clouds,8.0726,98.9105,Tharapark View Hotel
163,Kismayo,SO,75.29,light rain,-0.3582,42.5454,Agan-Hotel
165,Moose Factory,CA,78.8,scattered clouds,51.2585,-80.6094,Cree Village Eco Lodge
166,Kilindoni,TZ,76.6,few clouds,-7.9139,39.6668,Bustani B&B
167,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
168,Les Cayes,HT,81.73,overcast clouds,18.2,-73.75,Villa Orphee
169,Swift Current,CA,83.21,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
170,Eydhafushi,MV,82.49,scattered clouds,5.1033,73.0708,Soneva Fushi
171,Broome,US,75.79,scattered clouds,42.2506,-75.833,Chenango Valley State Park
172,Cobija,BO,81.95,broken clouds,-11.0267,-68.7692,Hotel Obelisco
173,Axim,GH,75.42,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
174,Linqiong,CN,84.02,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
175,Fukue,JP,80.24,light rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
176,Ciudad Bolivar,VE,83.77,scattered clouds,8.1222,-63.5497,Hotel Edi
177,Madang,PG,78.04,light rain,-5.2246,145.7966,Comfort Inn Hotel
178,Darab,IR,81.25,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
180,Bulata,PH,81.59,broken clouds,9.8599,122.4016,Punta Bulata Resort & Spa
181,The Valley,AI,84.06,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
182,Butwal,NP,82.51,overcast clouds,27.7006,83.4484,Hotel Sindoor Pvt. Ltd.
183,Esna,EG,84.47,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
184,Itarema,BR,79.5,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
186,Clinton,US,82.85,clear sky,42.587,-82.9199,River's Edge
187,Adolfo Lopez Mateos,MX,82.92,clear sky,28.4667,-107.3,Hotel Victor Inn
188,Nanyang,CN,83.48,overcast clouds,32.9947,112.5328,Wolong Memory Hotel
189,Ugoofaaru,MV,82.44,broken clouds,5.6667,73.0,Ungoofaaru Inn
190,Shenjiamen,CN,78.1,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
191,Hue,VN,78.91,few clouds,16.4667,107.6,Saigon Morin Hotel
192,San Andres,CO,81.95,few clouds,12.5847,-81.7006,Hotel Arena Blanca
193,Acapulco,MX,84.47,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
194,Thul,PK,86.95,overcast clouds,28.2403,68.7759,Noonari Hotel and Cold Drink
195,Tezu,IN,78.53,scattered clouds,27.9167,96.1667,Circuit House
196,Winslow,US,88.75,scattered clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
197,Pandan,PH,81.32,broken clouds,14.0453,124.1694,Bonifacio Lodge
198,Saint-Georges,GD,79.97,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
199,Makakilo City,US,82.56,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
200,Wad Madani,SD,76.6,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
